sequence_ID,Frame,FPS,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mediapipeResult,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
1,Frame_11,24.732069249794606,0.006965,0.006798,0.200004,0.136748,0.067082,7.1e-5,1e-6,0,0.52826,0.489313,0.674976,0.660779,0.053979,0.131121,0.115522,0.048618,0.012179,0.008005,0.553791,0.395298,0.001016,6.13e-4,2.73e-4,0.001807,0.35071600000000003,3.41e-4,24741,0.230289,7.4e-5,7.47e-4,0.016026,0.014312,0.004988,9.59e-4,0.004815,0.002011,6.93e-4,0.004873,0.014498,2.31e-4,0.00118,0.004017,0.001598,0.010794,0.003594,0.008985,0.03348,0.114514,0.010228,0.021972,1e-6,1e-6
1,Frame_12,24.732069249794606,0.006558,0.007491,0.184242,0.142548,0.067344,6.7e-5,1e-6,0,0.506479,0.484297,0.650997,0.635737,0.038002,0.168698,0.155858,0.035892,0.014121,0.00897,0.545025,0.395873,0.001119,6.5e-4,2.6e-4,0.002118,0.340378,2.78e-4,24742,0.229528,7e-5,6.4e-4,0.020185,0.018615,0.004451,0.001176,0.004167,0.001784,6.15e-4,0.004261,0.014819,1.81e-4,0.001289,0.004358,0.001727,0.010992,0.002863,0.006969,0.032851,0.12526,0.009167,0.021012,1e-6,1e-6
1,Frame_13,24.732069249794606,0.007713,0.007974,0.183552,0.132623,0.064209,6.2e-5,1e-6,0,0.501843,0.488562,0.64287,0.630169,0.032518,0.188661,0.17647,0.033508,0.014929,0.009529,0.532724,0.399952,0.001152,6.61e-4,2.49e-4,0.001817,0.36871,3.03e-4,24743,0.270055,6.1e-5,7.15e-4,0.017143,0.015698,0.004106,8.71e-4,0.004194,0.001645,4.89e-4,0.00384,0.017934,2.61e-4,0.001143,0.003933,0.001429,0.00871,0.002405,0.006204,0.028372,0.114859,0.006274,0.015462,1e-6,1e-6
1,Frame_14,24.732069249794606,0.009509,0.009551,0.165201,0.120569,0.055318,5.5e-5,1e-6,0,0.48009,0.473188,0.61014,0.596003,0.02674,0.218174,0.209753,0.029648,0.018108,0.01174,0.537635,0.399196,0.001275,7.42e-4,1.91e-4,0.001646,0.407698,2.62e-4,24744,0.33955,4.6e-5,8.13e-4,0.024568,0.021906,0.002582,7.22e-4,0.0034,0.001196,3.55e-4,0.003583,0.020337,3.29e-4,0.00119,0.003359,0.001964,0.009044,0.001301,0.003537,0.023114,0.09238,0.004873,0.013089,0,1e-6
1,Frame_15,24.732069249794606,0.009593,0.011127,0.16435,0.117552,0.045955,5.7e-5,1e-6,0,0.471418,0.472353,0.607012,0.590718,0.024572,0.225988,0.217258,0.028996,0.018577,0.011732,0.522212,0.383382,0.001341,7.53e-4,2.09e-4,0.00191,0.409075,2.36e-4,24745,0.331093,4.4e-5,8.71e-4,0.020763,0.019262,0.002701,7.65e-4,0.004007,0.001258,3.22e-4,0.003883,0.020424,3.06e-4,0.001179,0.003319,0.001845,0.008585,0.001431,0.004076,0.019976,0.098625,0.005485,0.013654,0,1e-6
1,Frame_16,24.732069249794606,0.011106,0.011892,0.146115,0.098166,0.039888,6.2e-5,1e-6,0,0.478129,0.455171,0.603612,0.585426,0.025366,0.230434,0.226111,0.022786,0.017024,0.011534,0.530923,0.38492,0.001138,7.36e-4,2.16e-4,0.002781,0.38988,1.67e-4,24746,0.303043,6.7e-5,0.001154,0.015007,0.013889,0.002552,9.2e-4,0.005324,0.001782,5.66e-4,0.006446,0.011096,2.12e-4,0.00141,0.003859,0.002029,0.008792,0.001997,0.005455,0.015092,0.058627,0.007663,0.016451,0,1e-6
1,Frame_17,24.732069249794606,0.012182,0.013792,0.131888,0.102244,0.038516,5.9e-5,1e-6,0,0.465707,0.44685,0.58932,0.568468,0.02408,0.230363,0.227111,0.024898,0.01881,0.012793,0.537037,0.399795,0.00125,7.52e-4,1.84e-4,0.002614,0.403149,1.44e-4,24747,0.34188,5.6e-5,0.00125,0.014713,0.013003,0.001902,7.62e-4,0.00434,0.001357,5.05e-4,0.006321,0.012657,2.93e-4,0.00137,0.003637,0.002149,0.008399,0.001601,0.004592,0.014634,0.05186,0.005567,0.01352,0,1e-6
1,Frame_18,24.732069249794606,0.012436,0.014582,0.118655,0.112431,0.042097999999999997,5.9e-5,1e-6,0,0.477425,0.437481,0.603104,0.580695,0.026992,0.207032,0.200206,0.029138,0.017144,0.01202,0.534654,0.405312,0.001188,7.47e-4,1.62e-4,0.002666,0.389788,1.38e-4,24748,0.335431,5.9e-5,0.001141,0.014121,0.013131,0.001942,0.001055,0.003886,0.00115,5.04e-4,0.006628,0.014026,2.28e-4,0.00154,0.003604,0.002646,0.010562,0.001429,0.004123,0.012203,0.049143,0.006329,0.014208,0,1e-6
1,Frame_19,24.732069249794606,0.010607,0.013516,0.123775,0.13137,0.045989,5e-5,1e-6,0,0.508662,0.445443,0.607577,0.585323,0.031703,0.185379,0.17688,0.032575,0.015767,0.011438,0.493968,0.402106,0.001055,6.86e-4,1.39e-4,0.002207,0.351971,1.51e-4,24749,0.312102,4.8e-5,0.001202,0.013567,0.012471,0.001962,9.45e-4,0.003138,8.38e-4,4.45e-4,0.007096,0.018592,3.07e-4,0.001693,0.003453,0.002864,0.011755,0.001229,0.003904,0.011906,0.052023,0.004552,0.011705,0,1e-6
1,Frame_20,24.732069249794606,0.013558,0.014688,0.120845,0.104328,0.045092,4.5e-5,1e-6,0,0.510996,0.441224,0.60021,0.574257,0.042043,0.149816,0.141656,0.040471,0.016196,0.012227,0.516877,0.415235,0.001061,6.59e-4,1.11e-4,0.00257,0.345941,1.23e-4,24750,0.328396,4.7e-5,0.00133,0.011722,0.010421,0.001671,0.001296,0.00246,6.36e-4,4.44e-4,0.00844,0.020307,2.64e-4,0.001791,0.00344,0.003072,0.012188,9.53e-4,0.003226,0.00958,0.036929,0.002912,0.008072,0,1e-6
